field,year,patent_category,number_women,average_numb_patent,sd_numb_patent
civil engineering,1976,0,62,7.027397260273973,14.310032031507482
civil engineering,1976,1,46,5,8.586958079355213
pharmaceuticals,1976,0,16,1.9444444444444444,1.1099667309387475
pharmaceuticals,1976,1,26,9.387096774193548,13.86044111696988
civil engineering,1977,0,66,3.8536585365853657,7.744567113996613
civil engineering,1977,1,49,5.172413793103448,8.0331286230767
pharmaceuticals,1977,0,10,3.2,2.007130147392398
pharmaceuticals,1977,1,39,4.859649122807017,4.4418408205029944
civil engineering,1978,0,86,4.2254901960784315,8.228069396580976
civil engineering,1978,1,66,3.7083333333333335,6.50121873731553
pharmaceuticals,1978,0,15,4.222222222222222,3.9191168806483696
pharmaceuticals,1978,1,53,11.216867469879517,11.674496064510466
civil engineering,1979,0,42,5.25,11.233515053851857
civil engineering,1979,1,50,7.4393939393939394,11.131561211782245
pharmaceuticals,1979,0,10,1.2,0.4216370213557839
pharmaceuticals,1979,1,39,6.787234042553192,8.464596783362031
civil engineering,1980,0,64,6.830985915492958,14.017321850882478
civil engineering,1980,1,47,4.053571428571429,5.722109092592737
pharmaceuticals,1980,0,18,2.5238095238095237,2.6761735298565306
pharmaceuticals,1980,1,65,7.151162790697675,7.769499100911832
civil engineering,1981,0,69,5.726190476190476,12.279232335877616
civil engineering,1981,1,57,3.292307692307692,5.045799852733574
pharmaceuticals,1981,0,19,2.65,2.680828622881955
pharmaceuticals,1981,1,58,6.287878787878788,8.249503764124988
civil engineering,1982,0,59,4.555555555555555,7.920528203667329
civil engineering,1982,1,50,2.4615384615384617,3.4039281717585794
pharmaceuticals,1982,0,14,3.8,3.3636714634883287
pharmaceuticals,1982,1,53,4.114754098360656,4.878860388300181
civil engineering,1983,0,48,3.4705882352941178,4.31440814562772
civil engineering,1983,1,41,4.958333333333333,5.103016768720633
pharmaceuticals,1983,0,18,3.142857142857143,2.632217967526897
pharmaceuticals,1983,1,43,10.42,17.09647296243006
civil engineering,1984,0,66,3.3098591549295775,6.604309305934323
civil engineering,1984,1,75,3.5280898876404496,4.6954762747109955
pharmaceuticals,1984,0,28,2.8666666666666667,2.3449628088122516
pharmaceuticals,1984,1,87,6.45945945945946,7.664301882201884
civil engineering,1985,0,60,5.6875,11.118231845265656
civil engineering,1985,1,92,6.2342342342342345,10.606134549876788
pharmaceuticals,1985,0,26,3.7419354838709675,3.0437667665299615
pharmaceuticals,1985,1,99,9.049586776859504,14.226062490882372
civil engineering,1986,0,51,12.333333333333334,17.657128689240135
civil engineering,1986,1,73,7.333333333333333,14.551965156723012
pharmaceuticals,1986,0,21,4.892857142857143,3.6039000038978934
pharmaceuticals,1986,1,106,10.1869918699187,12.486943734469305
civil engineering,1987,0,80,5.488372093023256,11.27490100235293
civil engineering,1987,1,75,5.362637362637362,9.53300288881442
pharmaceuticals,1987,0,33,3.9210526315789473,4.45628362280553
pharmaceuticals,1987,1,166,6.783251231527093,7.198206272091691
civil engineering,1988,0,60,3.727272727272727,6.510454207350973
civil engineering,1988,1,72,5.434210526315789,10.887712372291729
pharmaceuticals,1988,0,29,4.4411764705882355,5.909371993863124
pharmaceuticals,1988,1,198,10.078512396694215,12.076435039159215
civil engineering,1989,0,101,3.9469026548672566,7.576798122233572
civil engineering,1989,1,97,3.2135922330097086,6.9135423873655295
pharmaceuticals,1989,0,38,4.387755102040816,5.106435182405515
pharmaceuticals,1989,1,253,12.157303370786517,13.841272331327074
civil engineering,1990,0,67,6.090909090909091,11.146372808867394
civil engineering,1990,1,105,3.25,4.228012175540858
pharmaceuticals,1990,0,30,4.027777777777778,4.625927620402891
pharmaceuticals,1990,1,292,10.415041782729805,13.979350171353929
civil engineering,1991,0,72,4.758620689655173,8.426102187570534
civil engineering,1991,1,114,3.4186046511627906,5.070899936183981
pharmaceuticals,1991,0,52,3.85,4.598544353324378
pharmaceuticals,1991,1,308,10.10483870967742,12.62062139280361
civil engineering,1992,0,89,3.25,3.8716241661879485
civil engineering,1992,1,135,3.97972972972973,8.156187580286787
pharmaceuticals,1992,0,45,5.176470588235294,7.33677281194652
pharmaceuticals,1992,1,407,10.392,13.5302798546775
civil engineering,1993,0,89,3.404255319148936,6.242964468380869
civil engineering,1993,1,121,4.1679389312977095,8.962445297981954
pharmaceuticals,1993,0,51,5.916666666666667,7.408862459099447
pharmaceuticals,1993,1,458,10.118794326241135,13.581086052527203
civil engineering,1994,0,77,4.329411764705882,7.295445799385032
civil engineering,1994,1,113,3.9069767441860463,6.801242832730459
pharmaceuticals,1994,0,43,6.326923076923077,7.735127801892731
pharmaceuticals,1994,1,445,11.102888086642599,13.44408656677497
civil engineering,1995,0,63,5.027777777777778,9.622409616263548
civil engineering,1995,1,123,4.006849315068493,4.565986051819839
pharmaceuticals,1995,0,48,5.411764705882353,6.684837980349966
pharmaceuticals,1995,1,592,10.653203342618385,13.395009772128358
civil engineering,1996,0,78,3.7560975609756095,7.198355394492972
civil engineering,1996,1,142,3.694267515923567,4.535702275624436
pharmaceuticals,1996,0,80,4.449438202247191,5.569827882021327
pharmaceuticals,1996,1,784,12.316287878787879,16.686412437847665
civil engineering,1997,0,77,6.095238095238095,10.707073495320461
civil engineering,1997,1,138,3.6711409395973154,5.332768350871419
pharmaceuticals,1997,0,98,3.6216216216216215,4.164905442676622
pharmaceuticals,1997,1,1127,13.217149907464528,21.243293251477148
civil engineering,1998,0,90,4.836734693877551,9.924138932811903
civil engineering,1998,1,172,3.81025641025641,5.020565688328567
pharmaceuticals,1998,0,136,5.133720930232558,6.118672608888634
pharmaceuticals,1998,1,1436,21.879474399637516,48.889128086462485
civil engineering,1999,0,87,5.9375,14.094278421065987
civil engineering,1999,1,204,3.5789473684210527,5.001135971119262
pharmaceuticals,1999,0,140,5.053892215568863,6.010289856320345
pharmaceuticals,1999,1,1475,32.795539033457246,64.54383414042042
civil engineering,2000,0,85,9.533333333333333,19.538948610928706
civil engineering,2000,1,219,4.7023809523809526,6.712858141507407
pharmaceuticals,2000,0,135,5.627906976744186,6.144548311813355
pharmaceuticals,2000,1,1514,25.475446428571427,53.04344688559507
civil engineering,2001,0,88,10.160377358490566,20.76908728189352
civil engineering,2001,1,192,5.720524017467249,8.126228257261397
pharmaceuticals,2001,0,148,5.370165745856354,5.861455495688016
pharmaceuticals,2001,1,1687,19.8449240607514,40.01005386712256
civil engineering,2002,0,82,11.216494845360824,22.662021646047172
civil engineering,2002,1,232,5.976653696498055,9.359958751031527
pharmaceuticals,2002,0,137,4.969879518072289,5.577470588646283
pharmaceuticals,2002,1,1829,20.79181752353367,40.422108620082476
civil engineering,2003,0,86,6.946236559139785,15.756548391202342
civil engineering,2003,1,193,8.517094017094017,15.460933965083349
pharmaceuticals,2003,0,138,4.8152866242038215,5.4205469210892545
pharmaceuticals,2003,1,1829,17.892171910974675,32.57388884187627
civil engineering,2004,0,76,10.885416666666666,21.303752963993862
civil engineering,2004,1,227,14.60135135135135,27.14461955985044
pharmaceuticals,2004,0,110,5.108333333333333,6.198123643061493
pharmaceuticals,2004,1,1516,17.264474975466143,28.286444623346764
civil engineering,2005,0,72,8.364705882352942,17.614149519784434
civil engineering,2005,1,190,12.375510204081632,22.722619359985522
pharmaceuticals,2005,0,92,5.0606060606060606,5.951878766694789
pharmaceuticals,2005,1,1550,18.44114785992218,34.97269618972921
civil engineering,2006,0,73,6.988235294117647,16.74137597295357
civil engineering,2006,1,216,12.549645390070921,23.409384996697934
pharmaceuticals,2006,0,116,4.794117647058823,5.879175612477734
pharmaceuticals,2006,1,1883,20.587148903424396,44.95892407555281
civil engineering,2007,0,64,7.695652173913044,18.53954783050522
civil engineering,2007,1,200,8.757201646090534,13.551047487357772
pharmaceuticals,2007,0,106,4.504273504273504,5.785868533173843
pharmaceuticals,2007,1,1821,43.43262150220913,92.53796726101707
civil engineering,2008,0,46,7.58,17.541891550903895
civil engineering,2008,1,190,9.302521008403362,12.167296987440121
pharmaceuticals,2008,0,117,5.2734375,6.726039238555085
pharmaceuticals,2008,1,1813,41.78456474030724,86.73780069699679
civil engineering,2009,0,54,11.384615384615385,21.722462673817272
civil engineering,2009,1,216,7.842307692307692,13.394307356390982
pharmaceuticals,2009,0,108,6.7368421052631575,7.564765550295725
pharmaceuticals,2009,1,2084,23.426517571884983,41.91842356617697
civil engineering,2010,0,83,9.9,18.761932230186233
civil engineering,2010,1,300,8.566489361702128,15.467327954192774
pharmaceuticals,2010,0,165,5.653266331658291,5.762590684614531
pharmaceuticals,2010,1,2660,20.71410386965377,36.96605073872696
civil engineering,2011,0,81,7.53932584269663,14.597677414711686
civil engineering,2011,1,307,10.218508997429305,16.82570036035774
pharmaceuticals,2011,0,155,6.594444444444444,7.755118851746733
pharmaceuticals,2011,1,2647,19.416323377960865,31.814763753008716
civil engineering,2012,0,82,8.170212765957446,13.988196481836354
civil engineering,2012,1,330,10.430992736077481,16.966077183101486
pharmaceuticals,2012,0,175,8.324324324324325,10.283019577091379
pharmaceuticals,2012,1,3144,17.800709515859765,27.74554399091942
civil engineering,2013,0,103,7.698275862068965,13.866581552712297
civil engineering,2013,1,400,8.79746835443038,15.165092675632373
pharmaceuticals,2013,0,191,7.668067226890757,10.096742448085521
pharmaceuticals,2013,1,3549,17.141591320072333,24.740900554452775
civil engineering,2014,0,111,5.312977099236641,8.94090338704063
civil engineering,2014,1,497,9.63030303030303,16.48578704262741
pharmaceuticals,2014,0,209,5.711462450592886,7.047440365827438
pharmaceuticals,2014,1,3792,16.9031637825555,24.64494144018461
civil engineering,2015,0,134,5.461538461538462,10.282076240303532
civil engineering,2015,1,506,9.386018237082068,16.04578453903176
pharmaceuticals,2015,0,199,6.2677824267782425,8.12167499507166
pharmaceuticals,2015,1,3570,17.063822027716995,23.55585467936612
civil engineering,2016,0,132,5.851612903225806,9.833545520895337
civil engineering,2016,1,558,8.766162310866575,14.604720527902504
pharmaceuticals,2016,0,194,5.808695652173913,8.201496989964712
pharmaceuticals,2016,1,3647,15.322604931300583,21.617224972281065
civil engineering,2017,0,125,3.884892086330935,7.316924134676953
civil engineering,2017,1,630,9.830409356725147,15.390483744154023
pharmaceuticals,2017,0,240,5.294520547945205,7.315818955238752
pharmaceuticals,2017,1,3921,15.7247892074199,22.469757625666546
civil engineering,2018,0,120,5.570422535211268,9.845903412312907
civil engineering,2018,1,669,8.601598173515981,13.933308816852497
pharmaceuticals,2018,0,206,5.393574297188755,6.254491843569083
pharmaceuticals,2018,1,3747,14.175079158130005,20.76038436936597
civil engineering,2019,0,163,4.737373737373737,8.204351771565566
civil engineering,2019,1,769,7.687739463601533,12.648208732734481
pharmaceuticals,2019,0,234,4.645985401459854,5.84809558054586
pharmaceuticals,2019,1,3960,14.158730158730158,20.109364352028074
civil engineering,2020,0,127,3.7837837837837838,6.050288732684655
civil engineering,2020,1,784,6.636450381679389,11.076295605974334
pharmaceuticals,2020,0,223,4.722846441947565,6.421735482262628
pharmaceuticals,2020,1,3940,12.796580292614138,19.954643799827917
civil engineering,2021,0,125,2.8955223880597014,5.194370371820379
civil engineering,2021,1,739,6.542231491136601,10.923344579873719
pharmaceuticals,2021,0,202,4.111607142857143,6.42731343125772
pharmaceuticals,2021,1,3717,11.420360631104433,17.968783506620422
